Team,Player,Mouse,DPI,X-Axis Sens,Y-Axis Sens,Targeting Sens,Scope Sens,Monitor,Resolution,Mousepad,Keyboard,Headset
Free Agent,Jelty,Logitech G Pro X Superlight Black,800,8.0%,8.0%,50.0%,50.0%,GIGABYTE AORUS KD25F,1920x1080,The Mousepad Company Strata Liquid 07,SteelSeries Apex Pro TKL,Logitech G Pro X Headset
Free Agent,Scoped,,,,,,,Acer XF250Q,1920x1080,,,ASTRO A40
Free Agent,Leleo,Logitech G Pro X Superlight Black,800,9.3%,9.3%,100.0%,100.0%,ZOWIE XL2546,1920x1080,Glorious XXL,Razer BlackWidow V3 Mini,HyperX Cloud Alpha S
Free Agent,volx,Razer Viper 8KHz,800,4.5%,4.5%,28.2%,63.8%,ASUS ROG SWIFT PG258Q,1920x1080,ZOWIE G-SR-SE Blue,SteelSeries Apex Pro,Sennheiser PC38X
Free Agent,Assault,,,,,,,Alienware AW2518H,1920x1080,,,ASTRO A40
Free Agent,Andilex,Razer Viper V2 Pro Black,700,9.0%,9.0%,60.0%,100.0%,Alienware AW2518H,1920x1080,SteelSeries QcK XXL,Razer Huntsman V3 Pro TKL,HyperX Cloud II
Free Agent,Anas,HyperX Pulsefire Haste,1450,5.0%,5.0%,70.0%,50.5%,Acer Predator XB252Q,1920x1080,SteelSeries QcK+,Corsair K65 TKL,HyperX Cloud II
Free Agent,Toose,Pulsar X2 Mini,800,9.0%,9.0%,45.0%,48.7%,Acer Predator XN3,1920x1080,Xtrfy GP4 Street Blue,SteelSeries Apex Pro TKL (2023),Sennheiser GAME ZERO
Free Agent,Marco,,,,,,,ZOWIE XL2566K,1920x1080,,,Razer BlackShark V2 Pro White
Free Agent,916Gon,Razer Viper V2 Pro Black,1600,4.0%,4.0%,50.0%,50.0%,ZOWIE XL2546,1920x1080,4D Gaming Enigma,SteelSeries Apex Pro Mini Black,HyperX Cloud II
Free Agent,Ajerss,Logitech G Pro X Superlight Black,800,6.6%,6.6%,30.0%,30.0%,Alienware AW2521H,1920x1080,,SteelSeries Apex Pro Mini Black,Logitech G Pro X Headset
Free Agent,Merstach,Logitech G Pro X Superlight Magenta,1600,3.3%,3.3%,48.0%,48.0%,Alienware AW2521H,1920x1080,Artisan Hayate Otsu Soft,SteelSeries Apex Pro TKL (2023),beyerdynamic DT 990 Pro
Free Agent,K1NG,Razer Deathadder V3 Pro Black,800,8.5%,8.5%,25.1%,25.1%,ZOWIE XL2566K,1920x1080,The Mousepad Company Strata Liquid 03,Wooting 60 HE,HyperX Cloud II Wireless
Free Agent,Rezon ay,Logitech G Pro X Superlight Black,1600,2.9%,2.9%,34.4%,36.4%,ZOWIE XL2546K,1920x1080,Razer Gigantus V2,Custom Keyboard,HyperX Cloud Alpha
Free Agent,letw1k3,Logitech G Pro X Superlight Black,800,4.5%,4.5%,43.1%,43.1%,ZOWIE XL2546,1720x1080,ZOWIE G-SR-SE Deep Blue,SteelSeries Apex Pro TKL,HyperX Cloud II
Free Agent,Martoz,Logitech G Pro Wireless,800,5.0%,5.0%,75.5%,45.5%,ZOWIE XL2566K,1680x1050,SteelSeries QcK XXL,SteelSeries Apex Pro TKL,SteelSeries Arctis Pro Wireless
